ward_id,ward_name,zone,informal_housing_share,roof_sheet_share,outdoor_worker_share,historical_factor,capacity_factor,notes
AMC-25,Viratnagar,East,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-26,Bapunagar,North,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-27,Saraspur-Rakhiyal,North,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-28,Khadia,Central,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-29,Jamalpur,Central,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-30,Paldi,West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-31,Vasna,West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-32,Vejalpur,South West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-33,Sarkhej,South West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-34,Maktampura,South West,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-35,Baherampura,South,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-36,Danilimda,South,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-37,Maninagar,South,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-38,Gomtipur,East,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-39,Amraiwadi,East,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-40,Odhav,East,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-41,Vastral,East,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-42,Indrapuri,South,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data. CHECK ZONE: Indrapuri does not touch other South-zone wards; may be East"
AMC-43,Bhaipura Hatkeshwar,East,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-44,Khokhra,South,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-45,Isanpur,South,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-46,Lambha,South,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-47,Vatva,South,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
AMC-48,Ramol Hathijan,East,,,,1.0,,"zone: Wikipedia (Amdavad Municipal Corporation), name-matched; verify with AMC. historical_factor: default 1.0, no ward-level heat-illness data"
